Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
4.5 	 29 	 0.86 	 1.267E+00 	 1.938E+00 	 1.451E-01 	 4.038E-02 	 1.374E-01 	 1.572E-02 
5.5 	 52 	 0.56 	 1.231E+00 	 1.817E+00 	 1.913E-01 	 2.841E-02 	 6.776E-02 	 9.479E-03 
6.5 	 56 	 0.50 	 1.198E+00 	 1.828E+00 	 2.031E-01 	 2.706E-02 	 3.757E-02 	 8.358E-03 
7.5 	 54 	 0.59 	 1.144E+00 	 1.801E+00 	 2.139E-01 	 2.711E-02 	 4.241E-02 	 9.814E-03 
8.5 	 46 	 0.68 	 1.059E+00 	 1.763E+00 	 2.091E-01 	 2.818E-02 	 5.862E-02 	 1.086E-02 
9.5 	 48 	 1.20 	 1.532E+00 	 1.634E+00 	 2.740E-01 	 4.215E-02 	 6.623E-02 	 1.496E-02 
10.5 	 44 	 0.87 	 1.298E+00 	 1.746E+00 	 2.478E-01 	 4.068E-02 	 8.071E-02 	 1.640E-02 
11.5 	 28 	 0.48 	 8.559E-01 	 1.783E+00 	 2.650E-01 	 3.680E-02 	 1.696E-01 	 2.871E-02 
12.5 	 15 	 0.47 	 8.068E-01 	 1.733E+00 	 2.636E-01 	 4.846E-02 	 2.701E-01 	 5.695E-02 
13.5 	 12 	 0.25 	 7.124E-01 	 1.587E+00 	 2.957E-01 	 9.467E-02 	 5.820E-01 	 1.559E-01 
