hermes data proton and deuteron
z < 0.6, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1
1.25	120	3571.2965	0.8628	0.4361
1.51	120	956.2050	0.6916	0.4069
1.82	121	179.6047	0.7201	0.3653
2.88	124	184.6343	0.7883	0.3410
5.23	125	223.2162	0.7731	0.3502
9.21	127	187.4225	0.6300	0.3654
hermes data proton and deuteron
z < 0.7, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1
1.25	140	3645.7184	0.7142	0.4553
1.51	140	995.3806	0.6120	0.4170
1.82	141	419.2565	0.6353	0.3779
2.88	144	427.4880	0.7000	0.3530
5.23	145	392.4514	0.6811	0.3638
9.21	146	223.0230	0.6180	0.3671
hermes data proton and deuteron
z < 0.7, all Pt 

Q2	Npoints	Chi2	p0	p1
1.25	168	4183.7638	0.7792	0.4601
1.51	168	1203.9756	0.6604	0.4220
1.82	168	697.6832	0.6172	0.3912
2.88	168	832.3067	0.6854	0.3648
5.23	168	751.2319	0.6706	0.3814
9.21	165	397.8651	0.6119	0.3914
hermes data proton and deuteron
all z, all Pt 

Q2	Npoints	Chi2	p0	p1
1.25	224	9991.0217	0.3087	0.5189
1.51	224	3488.5063	0.1840	0.4770
1.82	224	2492.6007	0.3871	0.4268
2.88	224	2952.1653	0.4520	0.4007
5.23	224	1568.0272	0.4988	0.4067
9.21	221	496.8615	0.5592	0.3983
