2

hermes data proton and deuteron
z < 0.6, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	120	2954.47	0.8513	0.9273	0.4296	0.4402
1.51	120	449.22	0.7790	0.6268	0.3853	0.4279
1.82	121	235.84	0.6843	1.6687	0.3475	0.3462
2.88	124	390.10	0.8440	2.6199	0.3082	0.2966
5.23	125	315.63	0.8609	0.6273	0.3197	0.3772
9.21	127	189.39	0.6588	0.9359	0.3424	0.4011


hermes data proton and deuteron
z < 0.7, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	140	3041.07	0.7183	0.8708	0.4452	0.4529
1.51	140	480.55	0.7721	0.4214	0.3903	0.4384
1.82	141	399.37	0.7646	0.3005	0.3532	0.3972
2.88	144	642.53	0.8724	-0.0000	0.3280	0.3540
5.23	145	458.00	0.7465	0.7525	0.3383	0.3863
9.21	146	218.49	0.6477	0.8144	0.3448	-0.4025


hermes data proton and deuteron
z < 0.7, all Pt 

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	168	3477.51	0.7888	0.7325	0.4433	0.4920
1.51	168	761.44	0.6509	0.7026	0.4051	0.4592
1.82	168	1223.57	0.5876	0.7142	0.3828	0.4139
2.88	168	1726.05	0.6839	0.8182	0.3543	0.3777
5.23	168	1229.28	0.6824	0.6746	0.3724	0.3979
9.21	165	491.93	0.6164	0.7052	0.3792	0.4222


hermes data proton and deuteron
all z, all Pt 

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	224	7379.03	1.5992	-0.3125	0.3534	0.3763
1.51	224	2986.58	0.1951	-1.7648	0.4328	0.4069
1.82	224	2975.37	0.4538	-0.0000	0.4128	0.4472
2.88	224	3908.59	0.4155	1.2394	0.3914	0.3810
5.23	224	2047.96	0.5131	0.3735	0.4001	0.4219
9.21	221	581.12	0.5605	0.5963	0.3873	0.4291
