hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
1.25	 0.10	 0.15	 26	 3.28	 9.15E-01	 3.57E-01	 2.6E-02	 7.3E-03
1.25	 0.10	 0.20	 28	 3.27	 8.97E-01	 3.61E-01	 2.5E-02	 7.1E-03
1.25	 0.10	 0.25	 58	 4.77	 9.20E-01	 3.31E-01	 2.0E-02	 5.5E-03
1.25	 0.10	 0.30	 61	 4.74	 9.44E-01	 3.26E-01	 1.9E-02	 5.4E-03
1.25	 0.10	 0.35	 90	 8.37	 9.41E-01	 3.15E-01	 1.6E-02	 4.5E-03
1.25	 0.10	 0.40	 93	 8.64	 9.77E-01	 3.08E-01	 1.5E-02	 4.5E-03
1.25	 0.10	 0.45	 122	 14.40	 9.56E-01	 3.22E-01	 1.4E-02	 3.9E-03
1.25	 0.10	 0.55	 144	 15.86	 1.07E+00	 3.02E-01	 1.3E-02	 4.0E-03
1.25	 0.10	 0.60	 154	 22.77	 1.05E+00	 3.42E-01	 1.4E-02	 4.0E-03
1.25	 0.10	 0.70	 162	 27.43	 1.29E+00	 2.96E-01	 1.4E-02	 4.6E-03
1.25	 0.10	 0.75	 179	 26.54	 1.35E+00	 3.01E-01	 1.5E-02	 5.0E-03
1.25	 0.10	 0.80	 186	 28.08	 1.32E+00	 3.35E-01	 1.5E-02	 5.0E-03
1.25	 0.10	 0.95	 188	 36.02	 1.61E+00	 2.62E-01	 1.6E-02	 6.4E-03
1.25	 0.10	 1.00	 206	 47.66	 3.08E-01	 5.09E-01	 1.4E-02	 2.7E-03
1.25	 0.10	 1.05	 213	 46.35	 2.82E-01	 5.17E-01	 1.4E-02	 2.4E-03
1.25	 0.10	 1.10	 216	 48.28	 1.52E+00	 2.74E-01	 1.4E-02	 5.9E-03
1.25	 0.10	 1.20	 217	 48.12	 1.52E+00	 2.74E-01	 1.4E-02	 5.9E-03
1.25	 0.10	 1.40	 218	 47.93	 1.52E+00	 2.74E-01	 1.4E-02	 5.9E-03

1.51	 0.10	 0.15	 28	 2.39	 7.71E-01	 4.06E-01	 2.5E-02	 6.0E-03
1.51	 0.10	 0.25	 60	 5.89	 6.90E-01	 3.98E-01	 1.8E-02	 4.2E-03
1.51	 0.10	 0.30	 62	 5.71	 6.89E-01	 3.99E-01	 1.7E-02	 4.2E-03
1.51	 0.10	 0.35	 92	 6.25	 7.00E-01	 3.86E-01	 1.5E-02	 3.6E-03
1.51	 0.10	 0.40	 98	 6.03	 7.13E-01	 3.84E-01	 1.4E-02	 3.5E-03
1.51	 0.10	 0.45	 124	 6.25	 7.07E-01	 3.84E-01	 1.4E-02	 3.4E-03
1.51	 0.10	 0.55	 152	 7.55	 7.40E-01	 3.86E-01	 1.3E-02	 3.2E-03
1.51	 0.10	 0.60	 156	 7.45	 7.34E-01	 3.88E-01	 1.3E-02	 3.1E-03
1.51	 0.10	 0.70	 175	 12.31	 8.84E-01	 3.65E-01	 1.5E-02	 3.6E-03
1.51	 0.10	 0.75	 185	 12.42	 8.52E-01	 3.83E-01	 1.6E-02	 3.4E-03
1.51	 0.10	 0.80	 188	 12.45	 8.34E-01	 3.88E-01	 1.6E-02	 3.3E-03
1.51	 0.10	 0.95	 201	 16.73	 -1.90E-01	 4.74E-01	 1.4E-02	 2.0E-03
1.51	 0.10	 1.00	 216	 15.98	 1.93E-01	 4.75E-01	 1.3E-02	 1.5E-03
1.51	 0.10	 1.05	 219	 15.81	 1.86E-01	 4.76E-01	 1.3E-02	 1.5E-03
1.51	 0.10	 1.25	 220	 15.75	 1.86E-01	 4.76E-01	 1.3E-02	 1.5E-03

1.82	 0.10	 0.15	 28	 7.37	 4.09E-01	 4.76E-01	 4.1E-02	 6.8E-03
1.82	 0.10	 0.20	 29	 9.83	 2.87E-01	 4.90E-01	 5.4E-02	 6.9E-03
1.82	 0.10	 0.25	 60	 13.14	 1.58E-01	 4.76E-01	 5.5E-02	 4.3E-03
1.82	 0.10	 0.30	 63	 12.61	 1.14E-01	 4.78E-01	 7.0E-02	 4.1E-03
1.82	 0.10	 0.35	 92	 10.99	 2.81E-01	 4.55E-01	 2.8E-02	 3.6E-03
