hermes data proton and deuteron
z < 0.7
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.20	 0.25	 28	 1.07	 8.79E-01	 2.56E-01	 -2.69E-01	 5.9E-02	 1.2E-02	 4.2E-01
1.25	 0.20	 0.35	 56	 7.51	 8.07E-01	 2.82E-01	 -1.14E-01	 6.5E-02	 9.6E-03	 4.7E-01
1.25	 0.20	 0.40	 57	 7.38	 8.05E-01	 2.82E-01	 -1.16E-01	 6.4E-02	 9.5E-03	 4.6E-01
1.25	 0.20	 0.45	 84	 16.70	 6.72E-01	 3.25E-01	 -3.44E-01	 1.1E-01	 8.0E-03	 4.0E-01
1.25	 0.20	 0.55	 102	 15.82	 7.31E-01	 3.26E-01	 -3.07E-01	 6.7E-02	 6.8E-03	 2.8E-01
1.25	 0.20	 0.60	 112	 25.51	 5.01E-01	 3.88E-01	 -5.05E-01	 1.2E-01	 5.5E-03	 2.0E-01
1.25	 0.20	 0.70	 116	 24.85	 4.83E-01	 3.93E-01	 -4.34E-01	 1.1E-01	 5.7E-03	 1.8E-01
1.25	 0.20	 0.75	 133	 25.90	 7.86E-01	 3.99E-01	 -3.79E-01	 5.9E-02	 7.1E-03	 1.4E-01
1.25	 0.20	 0.80	 140	 26.37	 5.60E-01	 4.45E-01	 -3.59E-01	 8.8E-02	 6.2E-03	 1.4E-01
1.25	 0.20	 1.00	 156	 24.81	 4.38E-01	 4.82E-01	 -2.05E-01	 6.3E-02	 4.5E-03	 7.9E-02
1.25	 0.20	 1.05	 163	 24.07	 3.70E-01	 4.93E-01	 -2.21E-01	 7.7E-02	 4.1E-03	 7.8E-02
1.25	 0.20	 1.10	 166	 24.09	 2.97E-01	 5.02E-01	 -2.33E-01	 1.0E-01	 3.9E-03	 7.9E-02
1.25	 0.20	 1.20	 167	 23.97	 2.93E-01	 5.03E-01	 -2.32E-01	 1.0E-01	 3.9E-03	 8.0E-02
1.25	 0.20	 1.40	 168	 23.87	 2.92E-01	 5.03E-01	 -2.32E-01	 1.0E-01	 3.9E-03	 8.0E-02

1.51	 0.20	 0.25	 28	 1.88	 6.80E-01	 3.48E-01	 -1.98E-01	 6.2E-02	 8.3E-03	 2.3E-01
1.51	 0.20	 0.35	 56	 2.53	 7.08E-01	 3.31E-01	 -1.98E-01	 4.8E-02	 7.0E-03	 2.0E-01
1.51	 0.20	 0.40	 58	 2.49	 7.03E-01	 3.32E-01	 -1.95E-01	 4.8E-02	 6.9E-03	 2.0E-01
1.51	 0.20	 0.45	 84	 4.04	 6.66E-01	 3.45E-01	 -1.65E-01	 5.4E-02	 6.5E-03	 2.1E-01
1.51	 0.20	 0.55	 108	 6.28	 5.59E-01	 3.77E-01	 -2.47E-01	 7.4E-02	 5.9E-03	 1.9E-01
1.51	 0.20	 0.60	 112	 6.22	 5.56E-01	 3.81E-01	 -2.10E-01	 8.2E-02	 6.3E-03	 2.2E-01
1.51	 0.20	 0.70	 127	 6.63	 6.53E-01	 3.81E-01	 -1.68E-01	 5.0E-02	 5.7E-03	 1.6E-01
1.51	 0.20	 0.75	 137	 7.19	 5.57E-01	 4.07E-01	 -2.12E-01	 6.6E-02	 5.2E-03	 1.5E-01
1.51	 0.20	 0.80	 140	 7.21	 5.52E-01	 4.12E-01	 -1.68E-01	 7.1E-02	 5.6E-03	 1.7E-01
1.51	 0.20	 0.95	 149	 6.89	 5.47E-01	 4.17E-01	 -1.24E-01	 5.2E-02	 4.5E-03	 1.3E-01
1.51	 0.20	 1.00	 164	 6.76	 5.09E-01	 4.27E-01	 -1.67E-01	 5.4E-02	 4.0E-03	 1.1E-01
1.51	 0.20	 1.05	 167	 6.96	 4.90E-01	 4.31E-01	 -1.69E-01	 6.1E-02	 4.1E-03	 1.2E-01
1.51	 0.20	 1.25	 168	 6.94	 4.90E-01	 4.31E-01	 -1.68E-01	 6.1E-02	 4.1E-03	 1.2E-01

1.82	 0.20	 0.25	 28	 3.64	 3.55E-01	 4.09E-01	 -1.24E-01	 9.7E-02	 6.9E-03	 1.5E-01
1.82	 0.20	 0.35	 56	 2.93	 4.21E-01	 3.94E-01	 -1.32E-01	 6.8E-02	 5.8E-03	 1.3E-01
1.82	 0.20	 0.40	 66	 2.85	 4.19E-01	 3.94E-01	 -1.30E-01	 6.7E-02	 5.7E-03	 1.3E-01
1.82	 0.20	 0.45	 84	 2.40	 4.19E-01	 3.93E-01	 -1.30E-01	 6.7E-02	 5.7E-03	 1.3E-01
1.82	 0.20	 0.55	 112	 2.36	 4.49E-01	 3.88E-01	 -1.47E-01	 5.8E-02	 5.0E-03	 1.2E-01
1.82	 0.20	 0.70	 137	 3.05	 6.06E-01	 3.76E-01	 -1.04E-01	 4.1E-02	 4.6E-03	 1.3E-01
1.82	 0.20	 0.75	 140	 3.00	 6.05E-01	 3.77E-01	 -9.16E-02	 4.2E-02	 4.5E-03	 1.4E-01
1.82	 0.20	 0.90	 141	 3.01	 6.06E-01	 3.75E-01	 -1.08E-01	 4.1E-02	 4.3E-03	 1.3E-01
1.82	 0.20	 0.95	 162	 2.84	 5.66E-01	 3.80E-01	 -1.39E-01	 3.7E-02	 3.5E-03	 1.1E-01
1.82	 0.20	 1.00	 168	 3.22	 5.48E-01	 3.84E-01	 -1.51E-01	 4.3E-02	 3.6E-03	 1.2E-01

2.88	 0.20	 0.25	 28	 2.41	 3.08E-01	 4.31E-01	 -1.22E-01	 1.4E-01	 8.2E-03	 1.7E-01
2.88	 0.20	 0.30	 34	 2.10	 3.00E-01	 4.30E-01	 -1.29E-01	 1.4E-01	 7.8E-03	 1.7E-01
2.88	 0.20	 0.35	 56	 1.57	 3.62E-01	 4.22E-01	 -1.08E-01	 1.0E-01	 7.0E-03	 1.6E-01
2.88	 0.20	 0.40	 82	 1.48	 3.64E-01	 4.22E-01	 -9.29E-02	 1.0E-01	 7.1E-03	 1.6E-01
2.88	 0.20	 0.45	 84	 1.45	 3.64E-01	 4.22E-01	 -9.28E-02	 1.0E-01	 7.1E-03	 1.6E-01
2.88	 0.20	 0.55	 112	 2.52	 4.75E-01	 3.89E-01	 -1.62E-01	 5.7E-02	 6.0E-03	 1.2E-01
2.88	 0.20	 0.70	 140	 3.04	 6.45E-01	 3.50E-01	 -2.18E-01	 3.3E-02	 3.4E-03	 1.1E-01
2.88	 0.20	 0.90	 144	 2.99	 6.48E-01	 3.48E-01	 -2.22E-01	 3.3E-02	 3.3E-03	 1.1E-01
2.88	 0.20	 0.95	 168	 3.00	 5.84E-01	 3.53E-01	 -2.81E-01	 3.3E-02	 2.7E-03	 1.0E-01

5.23	 0.20	 0.25	 28	 0.68	 4.13E-01	 4.25E-01	 -1.01E-01	 1.7E-01	 1.2E-02	 3.0E-01
5.23	 0.20	 0.30	 38	 0.60	 4.39E-01	 4.22E-01	 -7.18E-02	 1.6E-01	 1.2E-02	 3.1E-01
5.23	 0.20	 0.35	 56	 0.75	 4.43E-01	 4.23E-01	 -3.17E-02	 1.2E-01	 1.0E-02	 2.6E-01
5.23	 0.20	 0.40	 81	 1.16	 4.29E-01	 4.26E-01	 -2.22E-03	 1.2E-01	 1.0E-02	 2.5E-01
5.23	 0.20	 0.45	 84	 1.19	 4.32E-01	 4.26E-01	 3.34E-03	 1.2E-01	 1.0E-02	 2.5E-01
5.23	 0.20	 0.55	 112	 2.09	 4.52E-01	 4.09E-01	 -1.03E-01	 8.9E-02	 8.3E-03	 1.9E-01
5.23	 0.20	 0.70	 140	 2.80	 6.21E-01	 3.62E-01	 -2.11E-01	 4.5E-02	 4.7E-03	 1.4E-01
5.23	 0.20	 0.90	 145	 2.73	 6.29E-01	 3.59E-01	 -2.08E-01	 4.3E-02	 4.5E-03	 1.4E-01
5.23	 0.20	 0.95	 166	 2.85	 5.98E-01	 3.64E-01	 -1.98E-01	 3.7E-02	 3.7E-03	 1.2E-01
5.23	 0.20	 1.00	 168	 2.82	 5.97E-01	 3.64E-01	 -1.99E-01	 3.7E-02	 3.7E-03	 1.2E-01

9.21	 0.20	 0.25	 26	 0.39	 2.63E-01	 4.08E-01	 -3.81E-01	 7.8E-01	 2.1E-02	 7.4E-01
9.21	 0.20	 0.30	 36	 0.33	 3.04E-01	 4.07E-01	 -3.29E-01	 6.4E-01	 2.0E-02	 7.4E-01
9.21	 0.20	 0.35	 54	 0.64	 3.55E-01	 4.02E-01	 -2.18E-01	 4.3E-01	 2.0E-02	 6.7E-01
9.21	 0.20	 0.40	 75	 0.85	 3.48E-01	 4.02E-01	 -2.12E-01	 5.5E-01	 2.4E-02	 8.5E-01
9.21	 0.20	 0.45	 82	 0.94	 3.16E-01	 4.04E-01	 -2.11E-01	 5.5E-01	 2.2E-02	 7.6E-01
9.21	 0.20	 0.55	 110	 1.27	 3.76E-01	 3.90E-01	 -3.01E-01	 2.7E-01	 1.4E-02	 4.2E-01
9.21	 0.20	 0.70	 138	 1.47	 5.81E-01	 3.59E-01	 -3.31E-01	 1.1E-01	 8.9E-03	 3.1E-01
9.21	 0.20	 0.85	 139	 1.46	 5.82E-01	 3.58E-01	 -3.31E-01	 1.1E-01	 8.9E-03	 3.1E-01
9.21	 0.20	 0.90	 146	 1.54	 5.03E-01	 3.59E-01	 -3.65E-01	 1.3E-01	 8.2E-03	 3.2E-01
9.21	 0.20	 0.95	 162	 1.51	 5.45E-01	 3.57E-01	 -3.52E-01	 1.2E-01	 7.7E-03	 3.1E-01

