# E288 300GeV sqrt(s)=23.75 y~0.21
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
4.5000e+00	1.0000e-01	3.1974e-10	1.4661e-11
4.5000e+00	3.0000e-01	2.6704e-10	1.0472e-11
4.5000e+00	5.0000e-01	2.3073e-10	1.0472e-11
4.5000e+00	7.0000e-01	1.9478e-10	1.0472e-11
4.5000e+00	9.0000e-01	1.3648e-10	9.4248e-12
4.5000e+00	1.1000e+00	9.5295e-11	8.0285e-12
4.5000e+00	1.3000e+00	6.4577e-11	6.9813e-12
4.5000e+00	1.5000e+00	5.5152e-11	6.9813e-12
4.5000e+00	1.7000e+00	2.9252e-11	5.4105e-12
4.5000e+00	1.9000e+00	1.7558e-11	4.7473e-12
4.5000e+00	2.1000e+00	1.3858e-11	3.5605e-12
4.5000e+00	2.3000e+00	6.5973e-12	2.9322e-12
4.5000e+00	2.5000e+00	2.0246e-12	3.5256e-12
4.5000e+00	2.7000e+00	7.4002e-12	6.7719e-12
4.5000e+00	2.9000e+00	0.0000e+00	3.7699e-12
5.5000e+00	1.0000e-01	7.3399e-11	4.5696e-12
5.5000e+00	3.0000e-01	6.5688e-11	2.8560e-12
5.5000e+00	5.0000e-01	5.9119e-11	2.8560e-12
5.5000e+00	7.0000e-01	5.1979e-11	3.1416e-12
5.5000e+00	9.0000e-01	3.2273e-11	2.2848e-12
5.5000e+00	1.1000e+00	2.4904e-11	2.0849e-12
5.5000e+00	1.3000e+00	1.8136e-11	1.7422e-12
5.5000e+00	1.5000e+00	1.0967e-11	1.1995e-12
5.5000e+00	1.7000e+00	7.4256e-12	1.0853e-12
5.5000e+00	1.9000e+00	3.5414e-12	7.1400e-13
5.5000e+00	2.1000e+00	2.9417e-12	6.2832e-13
5.5000e+00	2.3000e+00	2.2562e-12	6.5688e-13
5.5000e+00	2.5000e+00	9.1392e-13	3.7128e-13
5.5000e+00	2.7000e+00	3.9984e-13	3.4272e-13
5.5000e+00	2.9000e+00	1.8850e-13	3.2844e-13
5.5000e+00	3.1000e+00	1.5708e-13	2.7418e-13
5.5000e+00	3.9000e+00	3.7985e-13	3.9413e-13
6.5000e+00	1.0000e-01	2.0517e-11	1.6916e-12
6.5000e+00	3.0000e-01	1.8922e-11	1.0391e-12
6.5000e+00	5.0000e-01	1.5829e-11	8.4581e-13
6.5000e+00	7.0000e-01	1.3050e-11	7.9748e-13
6.5000e+00	9.0000e-01	1.0005e-11	7.2498e-13
6.5000e+00	1.1000e+00	6.9115e-12	5.7999e-13
6.5000e+00	1.3000e+00	4.5191e-12	4.5916e-13
6.5000e+00	1.5000e+00	4.3982e-12	4.8332e-13
6.5000e+00	1.7000e+00	2.6583e-12	3.3833e-13
6.5000e+00	1.9000e+00	1.7400e-12	3.1416e-13
6.5000e+00	2.1000e+00	9.8598e-13	2.3924e-13
6.5000e+00	2.3000e+00	5.2924e-13	1.6433e-13
6.5000e+00	2.5000e+00	4.5916e-13	1.5708e-13
6.5000e+00	2.7000e+00	1.9091e-13	9.6664e-14
6.5000e+00	2.9000e+00	2.6583e-13	1.2083e-13
6.5000e+00	3.1000e+00	4.5916e-14	4.5916e-14
6.5000e+00	3.3000e+00	5.5582e-14	5.5582e-14
6.5000e+00	3.7000e+00	6.7665e-14	7.0082e-14
