# E605 800GeV sqrt(s)=38.77 xF~0.1
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
7.5000e+00	1.0000e-01	1.6441e-11	2.4086e-12
7.5000e+00	3.0000e-01	2.0378e-11	1.8012e-12
7.5000e+00	5.0000e-01	1.7279e-11	1.2985e-12
7.5000e+00	7.0000e-01	1.6860e-11	1.1938e-12
7.5000e+00	9.0000e-01	1.1917e-11	8.7965e-13
7.5000e+00	1.1000e+00	1.1247e-11	9.4248e-13
7.5000e+00	1.3000e+00	8.1263e-12	8.1681e-13
7.5000e+00	1.5000e+00	6.5345e-12	7.9587e-13
7.5000e+00	1.7000e+00	4.7962e-12	7.7493e-13
7.5000e+00	1.9000e+00	2.8484e-12	6.4926e-13
7.5000e+00	2.1000e+00	2.8693e-12	9.0059e-13
8.5000e+00	1.0000e-01	6.1538e-12	4.6200e-13
8.5000e+00	3.0000e-01	8.1127e-12	3.6960e-13
8.5000e+00	5.0000e-01	6.8006e-12	2.5872e-13
8.5000e+00	7.0000e-01	6.8376e-12	2.5872e-13
8.5000e+00	9.0000e-01	4.7863e-12	1.8480e-13
8.5000e+00	1.1000e+00	4.1395e-12	1.6632e-13
8.5000e+00	1.3000e+00	3.3264e-12	1.6632e-13
8.5000e+00	1.5000e+00	2.4209e-12	1.4784e-13
8.5000e+00	1.7000e+00	1.6170e-12	1.2566e-13
8.5000e+00	1.9000e+00	1.3176e-12	1.2936e-13
8.5000e+00	2.1000e+00	8.9073e-13	1.1642e-13
8.5000e+00	2.3000e+00	5.0265e-13	9.9792e-14
8.5000e+00	2.5000e+00	4.0102e-13	9.6096e-14
8.5000e+00	2.7000e+00	3.4003e-13	1.0534e-13
1.1000e+01	1.0000e-01	1.0010e-12	1.1995e-13
1.1000e+01	3.0000e-01	1.1195e-12	7.8540e-14
1.1000e+01	5.0000e-01	1.0167e-12	5.8548e-14
1.1000e+01	7.0000e-01	8.9107e-13	4.7124e-14
1.1000e+01	9.0000e-01	7.1828e-13	3.7128e-14
1.1000e+01	1.1000e+00	5.5692e-13	2.9988e-14
1.1000e+01	1.3000e+00	4.4553e-13	2.5704e-14
1.1000e+01	1.5000e+00	3.3415e-13	2.1420e-14
1.1000e+01	1.7000e+00	2.0992e-13	1.4280e-14
1.1000e+01	1.9000e+00	1.8707e-13	1.5708e-14
1.1000e+01	2.1000e+00	1.0067e-13	1.0282e-14
1.1000e+01	2.3000e+00	7.1400e-14	8.7108e-15
1.1000e+01	2.5000e+00	6.5545e-14	8.8536e-15
1.1000e+01	2.7000e+00	4.7124e-14	8.4252e-15
1.1000e+01	2.9000e+00	3.0702e-14	6.9972e-15
1.1000e+01	3.1000e+00	2.2705e-14	7.4256e-15
1.2500e+01	1.0000e-01	3.1919e-13	4.0212e-14
1.2500e+01	3.0000e-01	4.2663e-13	3.0159e-14
1.2500e+01	5.0000e-01	4.0589e-13	2.4504e-14
1.2500e+01	7.0000e-01	3.0913e-13	1.6336e-14
1.2500e+01	9.0000e-01	2.6201e-13	1.3823e-14
1.2500e+01	1.1000e+00	2.0295e-13	1.1310e-14
1.2500e+01	1.3000e+00	1.5519e-13	9.4248e-15
1.2500e+01	1.5000e+00	1.2189e-13	7.5398e-15
1.2500e+01	1.7000e+00	8.6080e-14	6.2832e-15
1.2500e+01	1.9000e+00	5.4412e-14	4.5867e-15
1.2500e+01	2.1000e+00	4.2663e-14	4.0212e-15
1.2500e+01	2.3000e+00	2.7646e-14	3.4558e-15
1.2500e+01	2.5000e+00	2.0986e-14	3.0159e-15
1.2500e+01	2.7000e+00	1.6462e-14	2.6389e-15
1.2500e+01	2.9000e+00	1.0367e-14	2.0735e-15
1.2500e+01	3.1000e+00	7.5398e-15	1.7593e-15
1.2500e+01	3.3000e+00	6.9743e-15	1.8850e-15
1.2500e+01	3.5000e+00	4.1092e-15	1.5268e-15
1.5800e+01	1.0000e-01	5.3191e-14	1.2190e-14
1.5800e+01	3.0000e-01	4.5656e-14	6.4272e-15
1.5800e+01	5.0000e-01	4.1666e-14	4.6542e-15
1.5800e+01	7.0000e-01	3.7899e-14	3.7677e-15
1.5800e+01	9.0000e-01	2.1565e-14	2.5709e-15
1.5800e+01	1.1000e+00	2.3714e-14	2.4379e-15
1.5800e+01	1.3000e+00	1.7531e-14	1.9503e-15
1.5800e+01	1.5000e+00	1.3409e-14	1.5514e-15
1.5800e+01	1.7000e+00	7.7570e-15	1.1303e-15
1.5800e+01	1.9000e+00	4.2996e-15	7.9786e-16
1.5800e+01	2.1000e+00	4.4326e-15	8.2003e-16
1.5800e+01	2.3000e+00	3.0142e-15	6.4272e-16
1.5800e+01	2.5000e+00	3.0142e-15	6.4272e-16
1.5800e+01	2.7000e+00	1.3298e-15	4.2331e-16
1.5800e+01	2.9000e+00	9.6409e-16	3.6790e-16
